timestamp,symbol,signal,action,signal_strength,confidence,price,position_size,trade_value,commission,margin_used,leverage,capital_after,available_margin,profit_loss,trade_return_pct,capital_before,mfe,mae,exit_reason
04:00 2024/03/28,BTCUSDT,TREND_REVERSAL,SELL,,,68952.452205,-0.5437242647749986,37491.12137959685,3.7491121379596852,7453.263476682725,,47124.11600195547,,219.1915681760849,2.9408804460196274,46904.924433779386,0.010113050862725508,0.0009049424241318615,TREND_REVERSAL
05:00 2024/03/28,BTCUSDT,BUY,BUY,0.75,0.6000000000000001,69005.4,0.4932089920381604,34035.785483379026,3.4035785483379026,6806.816755838014,5.0,47120.71242340714,3193.1832441619863,,,,,,
06:00 2024/03/28,BTCUSDT,TREND_REVERSAL,SELL,,,69505.92452999999,-0.4932089920381604,34280.94697812174,3.4280946978121745,6806.816755838014,,47362.44582345204,,241.73340004490296,3.551342848146677,47120.71242340714,0.0077214694624704655,0.00027170819288581583,TREND_REVERSAL
07:00 2024/03/28,BTCUSDT,BUY,BUY,0.65,0.5,69548.6,0.4426485908450181,30787.129064733097,3.0787129064733096,6157.117957048766,5.0,47359.36711054557,3842.8820429512343,,,,,,
09:00 2024/03/28,BTCUSDT,TREND_REVERSAL,SELL,,,69507.52445,-0.4426485908450181,30767.40775091814,3.0767407750918143,6157.117957048766,,47336.56905595552,,-22.79805459004819,-0.3702715255592694,47359.36711054557,0.007936823606103843,0.002926978424259258,TREND_REVERSAL
11:00 2024/03/28,BTCUSDT,BUY,BUY,0.45,0.35,69356.3,0.44363338134201347,30770.308324865415,3.0770308324865416,6153.753977274218,5.0,47333.492025123036,3846.2460227257816,,,,,,
12:00 2024/03/28,BTCUSDT,TREND_REVERSAL,SELL,,,69797.70994,-0.44363338134201347,30964.594070611263,3.0964594070611264,6153.753977274218,,47524.68131146182,,191.1892863387874,3.106872439893575,47333.492025123036,0.007200603472781149,0.00032537327777986167,TREND_REVERSAL
13:00 2024/03/28,BTCUSDT,BUY,BUY,0.65,0.5,69794.1,0.4426024958048056,30892.587404592814,3.0892587404592815,6178.208570490036,5.0,47521.59205272136,3821.7914295099636,,,,,,
14:00 2024/03/28,BTCUSDT,TREND_REVERSAL,SELL,,,70425.07857000001,-0.4426024958048056,31170.315542331537,3.117031554233154,6178.208570490036,,47796.203158905846,,274.6111061844894,4.4448338551754025,47521.59205272136,0.009818538117096055,0.001111638744660865,TREND_REVERSAL
15:00 2024/03/28,BTCUSDT,WEAK_BUY,BUY,0.35,0.30000000000000004,70467.0,0.440880583156496,31069.085429891467,3.1069085429891468,6213.50641065776,5.0,47793.096250362854,3786.49358934224,,,,,,
16:00 2024/03/28,BTCUSDT,TREND_REVERSAL,SELL,,,70634.56809500001,-0.440880583156496,31141.40957273083,3.1141409572730834,6213.50641065776,,47862.30625224495,,69.21000188208997,1.1138638525161417,47793.096250362854,0.006660609680288277,0.0016747903150062687,TREND_REVERSAL
17:00 2024/03/28,BTCUSDT,WEAK_BUY,BUY,0.2,0.2,70638.4,0.4404190789140074,31112.05458891242,3.111205458891242,6222.099812791844,5.0,47859.19504678606,3777.9001872081562,,,,,,
18:00 2024/03/28,BTCUSDT,TREND_REVERSAL,SELL,,,70885.755535,-0.4404190789140074,31219.439160848204,3.1219439160848204,6222.099812791844,,47963.45767480576,,104.26262801970024,1.675682344493246,47859.19504678606,0.0042831229522806245,0.0033568153298602454,TREND_REVERSAL
19:00 2024/03/28,BTCUSDT,WEAK_BUY,BUY,0.2,0.2,70733.0,0.440759581646809,31177.806300998178,3.117780630099818,6235.249497724749,5.0,47960.33989417566,3764.750502275251,,,,,,
20:00 2024/03/28,BTCUSDT,TREND_REVERSAL,SELL,,,70926.4535,-0.440759581646809,31261.513972351855,3.1261513972351858,6235.249497724749,,48040.9214141321,,80.58151995644195,1.2923543794975048,47960.33989417566,0.0032212963878545365,0.004538484144176842,TREND_REVERSAL
02:00 2024/03/29,BTCUSDT,BUY,BUY,0.45,0.35,70616.0,0.44220288488707754,31228.16024913183,3.1228160249131833,6245.319783837173,5.0,48037.79859810718,3754.6802161628266,,,,,,
03:00 2024/03/29,BTCUSDT,TREND_REVERSAL,SELL,,,70856.157015,-0.44220288488707754,31332.79704404474,3.1332797044044742,6245.319783837173,,48139.30211331569,,101.50351520850448,1.6252733041980427,48037.79859810718,0.005213418948402151,0.000961926526988507,TREND_REVERSAL
13:00 2024/03/29,BTCUSDT,BUY,BUY,0.9500000000000001,0.75,70233.0,0.5445303649759565,38245.913323412526,3.8245913323412526,7648.800224671271,5.0,48135.47752198335,2351.1997753287287,,,,,,
